Prioridade,Nome,Instagram,Telefone,WhatsApp,Bairro/Endereço,Especialidade,Qualidade,Status,Data Contato,Resposta,Notas
18,Dra. Raquel Faria,,(47) 3028-0603,(47) 99229-6696,"Rua Pedro Mayerle, 119 – Anita Garibaldi","Implantes, Prótese, Harmonização",Alta,,,,
19,Abrantes Odontologia,,(47) 3422-7025,(47) 99115-7370,"Rua Pará, 333 – América","Implantes, Ortodontia, Estética",Alta,,,,
20,Odontocot Joinville,@odontocotjoinville,(47) 4101-0704,(47) 99620-2049,"Rua Tuiuti, 2673 – Aventureiro","Implantes carga imediata",Alta,,,,
21,Ícone Odontologia,,,(47) 96520-655,"R. Monsenhor Gercino, 4477 – Itaum","Geral, Implantes, Ortodontia",Alta,,,,
22,Clínica Sonhare,@sonhare.odontologia,(47) 3433-3109,,"R. Dr. Marinho Lobo, 80 sl.408 – Centro","Geral, Estética",Alta,,,,
23,Bozzola Ortodontia,,(47) 3027-1530,(47) 99292-9663,"Anita Garibaldi","Ortodontia, Ortopedia Facial",Alta,,,,
24,Gemola Odontologia,,,(47) 99767-5905,"Rua Lages, 735 – América","Geral, Integrada",Alta,,,,
25,Clínica Nova Odontologia,,(47) 3207-7661,(47) 99649-8005,"Av. Santos Dumont, 800 sl.02 – Bom Retiro","Geral, Particular",Alta,,,,
26,Centro Estético de Implantes,,(47) 3436-0282,(47) 99916-4300,"Rua Santa Catarina, 165 – Floresta","Implantes, Ortodontia",Alta,,,,
27,Oral Prime Joinville,@oralprimejoinville,(47) 3028-3328,(47) 98864-1863,"Rua Dr. João Colin, 598 – Centro","Implantes, Ortodontia, Prótese",Alta,,,,
28,Dra. Mariana Saraiva,@dramarianasaraiva,,,Joinville,Ortodontia,Média,,,,
29,Itaum Odontologia,@itaumodontologia,,,"R. Monsenhor Gercino, 4477 – Itaum",Geral,Média,,,,
30,Oral Flosi Odontologia,,,,"R. Florianópolis, 2910 sl.02 – Itaum","Ortodontia, Implantes",Média,,,,
31,Oral Master,@oralmaster_odonto,,,"R. Otto Pfuetzenreuter, 231 sl.03 – Costa e Silva","Geral, Especialidades",Média,,,,
32,Ateliê Odonto,,(47) 3472-2717,,"R. Carlos Benack, 272 – Saguaçu",Geral,Média,,,,
33,Dra. Flavia Narloch,,,,"R. Benjamin Constant, 2796 – Costa e Silva",Odontopediatria,Média,,,,
34,Dra. Jussara Pedrolo,,,(47) 99234-7099,"R. Pastor Dommel, 415 – Pirabeiraba","Geral, Clareamento",Média,,,,
35,Odonto Clean,,(47) 3422-4222,,"R. Pref. Helmuth Fallgatter, 2347 – Boa Vista",Geral,Média,,,,
36,HA Odontologia,@haodontologia,,,"Rua Conselheiro Arp – América","Geral (40+ anos)",Média,,,,
37,Dents Ortodontia,,(47) 3804-2104,(47) 99756-5906,"R. Plácido Olímpio de Oliveira, 1390 – Anita Garibaldi","Ortodontia, Geral",Média,,,,
38,Clínica CEIPE,,,,"Rua Max Colin, 1095 – América","Implantes, Ortodontia",Média,,,,
39,Reference Odontologia,,,,Joinville,Reabilitação Oral,Média,,,,
40,Catarinense Odontologia,@catarinenseimplantescentro,(47) 3423-0823,,"Rua Nove de Março, 398 – Centro","Implantes, Ortodontia",Média,,,,
41,Odonto Vila Nova,,(47) 3034-1747,,"R. XV de Novembro, 6918 – Vila Nova",Geral,Média,,,,
42,Ciclo Odontologia,,(47) 3026-2007,(47) 99144-5408,"Rua Tuiuti, 2295 – Aventureiro",Geral,Média,,,,
43,Odontocot Vila Nova,@odontocotvilanova,,(47) 99620-2049,"R. XV de Novembro, 7351 – Vila Nova","Implantes, Geral",Média,,,,
44,Dent's Odontologia,,(47) 3433-2454,,"R. Dona Elza Meinert, 299 – Costa e Silva","Preventiva, Estética",Baixa,,,,
45,Dentale Odontologia,,(47) 3437-2446,,"R. Inambu, 2949 sl.02 – Costa e Silva",Especialidades,Baixa,,,,
46,Via Odonto,,(47) 3455-1173,,"R. Dona Francisca, 564 – Centro",Geral,Baixa,,,,
47,Odonto Art,,(47) 3027-3258,,"R. Dona Elza Meinert, 104 – Costa e Silva",Geral,Baixa,,,,
48,Odonto Arte,,,,"R. Papa João XXIII, 1237 – Iririú",Geral,Baixa,,,,
49,Odonto e Você,,(47) 3439-0452,,"R. Dona Francisca, 100 sl.9 – Centro","Geral, Especialidades",Baixa,,,,
50,Dental Med,,(47) 3804-2104,(47) 99756-5906,"Bucarein","Geral, Ortodontia",Baixa,,,,
